Terms,docFreq,postList
setempat,2,"[47, 47]"
setiabudi,1,[85]
setiap,10,"[44, 16, 17, 68, 36, 3, 50, 49, 51, 17]"
setinggi,1,[12]
sewu,7,"[57, 62, 52, 62, 62, 62, 62]"
shin,1,[69]
si,1,[46]
siang,1,[39]
siapa,2,"[42, 70]"
sidomukti,5,"[34, 34, 34, 34, 34]"
sie,2,"[39, 39]"
silahkan,5,"[49, 47, 24, 35, 34]"
silakan,6,"[40, 46, 43, 42, 54, 16]"
simongan,1,[47]
simpang,2,"[66, 63]"
simpanglima,1,[83]
sin,1,[39]
sindoro,1,[27]
singa,1,[15]
singkong,4,"[70, 37, 42, 42]"
singo,1,[41]
sini,15,"[68, 3, 63, 56, 11, 11, 6, 56, 27, 13, 1, 53, 54, 46, 71]"
sisemut,1,[35]
sistem,1,[20]
situs,2,"[59, 59]"
siwarak,4,"[17, 17, 17, 17]"
skiban,2,"[10, 10]"
sky,1,[10]
sloth,1,[55]
sobat,5,"[39, 13, 11, 72, 10]"
soegiyopranoto,1,[57]
songo,4,"[2, 15, 4, 29]"
sopeardjo,1,[20]
sore,2,"[25, 68]"
sosial,1,[40]
souvenir,1,[24]
soyong,1,[16]
spa,2,"[18, 35]"
space,1,[18]
special,1,[86]
spesial,2,"[74, 3]"
spiegel,1,[59]
spikoe,1,[63]
spiritual,1,[40]
spoorweg,1,[62]
spot,8,"[59, 56, 11, 45, 11, 7, 4, 9]"
srigunting,1,[59]
sriwijaya,1,[65]
stamina,1,[29]
stasiun,5,"[55, 80, 80, 20, 55]"
stop,1,[18]
strategis,3,"[55, 9, 55]"
stroberi,4,"[7, 0, 7, 7]"
suasana,5,"[71, 35, 56, 31, 59]"
suasanya,1,[12]
subroto,1,[32]
subulussalam,1,[1]
suci,1,[47]
sudah,1,[66]
sudarso,1,[61]
sudut,4,"[59, 49, 59, 50]"
suir,1,[78]
suka,5,"[82, 6, 6, 31, 11]"
sukorejo,1,[68]
sultan,1,[41]
sumatra,1,[54]
sumber,8,"[67, 21, 73, 32, 44, 76, 55, 30]"
sumbing,1,[27]
sumowono,1,[21]
sumur,1,[21]
sunan,3,"[64, 64, 64]"
sungai,2,"[16, 30]"
sunrise,3,"[11, 16, 11]"
supeno,1,[83]
supermarket,1,[76]
suprana,2,"[51, 51]"
suprapto,1,[59]
susu,3,"[3, 36, 16]"
sutomo,1,[57]
swafoto,1,[11]
swemmelaar,1,[44]
swiss,1,[85]
syekh,2,"[1, 1]"
tadinya,1,[38]
tahu,26,"[85, 83, 69, 77, 86, 76, 76, 63, 83, 77, 83, 69, 76, 77, 63, 63, 69, 85, 69, 76, 69, 76, 76, 76, 86, 77]"
tahun,22,"[62, 39, 53, 52, 39, 22, 30, 52, 47, 44, 48, 50, 44, 77, 67, 44, 59, 59, 20, 41, 55, 75]"
tajam,1,[27]
tak,5,"[14, 48, 17, 56, 15]"
tali,1,[19]
taman,16,"[54, 65, 15, 60, 15, 58, 18, 15, 60, 13, 57, 59, 60, 6, 83, 15]"
tampak,1,[27]
tanah,6,"[49, 62, 55, 55, 47, 15]"
tanam,1,[16]
tanaman,1,[32]
tandem,1,[63]
tangan,1,[42]
tangga,1,[50]
tanggal,2,"[62, 55]"
tanjung,1,[82]
tanpa,1,[84]
tantangan,1,[66]
tantular,1,[59]
tapi,1,[51]
tari,4,"[16, 16, 16, 16]"
tarik,3,"[5, 62, 64]"
tau,1,[6]
tauge,2,"[82, 83]"
tawang,3,"[55, 80, 55]"
tay,2,"[39, 39]"
tbrs,3,"[65, 65, 65]"
teater,2,"[65, 65]"
tebing,1,[19]
teknisi,1,[55]
teknologi,2,"[20, 38]"
teksturnya,1,[81]
telah,6,"[15, 86, 59, 75, 77, 26]"
telomoyo,1,[27]
telp,4,"[16, 77, 77, 77]"
telur,3,"[78, 84, 83]"
teman,1,[13]
tempat,22,"[30, 68, 36, 33, 56, 66, 28, 47, 47, 2, 40, 22, 79, 54, 4, 34, 62, 33, 4, 22, 27, 65]"
tempo,2,"[3, 16]"
tempur,1,[26]
tenang,1,[12]
tengah,18,"[26, 38, 47, 57, 49, 20, 66, 49, 49, 10, 26, 58, 57, 46, 66, 40, 66, 66]"
tenggelam,1,[27]
tennis,1,[18]
tentang,1,[57]
tepat,1,[73]
tepatnya,5,"[26, 15, 54, 66, 57]"
tepung,1,[84]
terapi,1,[54]
terasa,1,[59]
terbaik,1,[82]
terbakar,1,[48]
terbalik,1,[11]
terbang,1,[54]
terbaru,2,"[1, 6]"
terbenam,1,[25]
terbesar,1,[49]
terbit,2,"[27, 25]"
terbuat,6,"[86, 70, 74, 84, 37, 80]"
tercinta,2,"[26, 10]"
terdapat,13,"[36, 1, 49, 78, 23, 52, 21, 16, 21, 32, 59, 32, 22]"
terdiri,5,"[82, 50, 73, 59, 83]"
terdpata,1,[49]
terjaga,1,[17]
terjangkau,5,"[76, 28, 60, 17, 13]"
terjun,9,"[19, 13, 50, 13, 31, 16, 21, 3, 37]"
terkait,1,[59]
terkenal,3,"[73, 46, 82]"
terlebih,2,"[84, 76]"
terlepas,1,[12]
terletak,30,"[75, 2, 31, 62, 34, 58, 35, 26, 66, 36, 22, 33, 29, 46, 57, 30, 45, 66, 54, 48, 82, 34, 24, 27, 20, 49, 32, 55, 67, 73]"
terluas,1,[66]
terminal,2,"[73, 54]"
ternak,1,[42]
terpasang,1,[44]
tersayang,1,[7]
tersebut,8,"[59, 64, 30, 51, 2, 55, 44, 30]"
tersedia,6,"[53, 54, 13, 56, 27, 80]"
tersendiri,2,"[66, 8]"
tersisa,1,[2]
tertarik,1,[69]
tertata,1,[59]
tertentu,3,"[65, 62, 29]"
tertua,1,[47]
terutama,2,"[48, 61]"
tetap,2,"[81, 47]"
tetapi,3,"[17, 47, 48]"
th,1,[82]
the,5,"[23, 7, 23, 36, 36]"
thoha,1,[41]
tiap,1,[39]
tidak,8,"[2, 17, 44, 15, 43, 17, 14, 81]"
tiga,3,"[47, 48, 14]"
tiket,5,"[28, 28, 28, 28, 17]"
tiketnya,1,[36]
timur,3,"[54, 77, 47]"
tinggal,3,"[47, 64, 69]"
tinggi,6,"[56, 22, 52, 22, 59, 34]"
tingkat,2,"[50, 50]"
tingkatan,1,[21]
tinjomoyo,2,"[56, 56]"
tionghoa,2,"[78, 78]"
tiongkok,2,"[50, 50]"
tirto,4,"[17, 17, 17, 17]"
tlogo,2,"[27, 27]"
tni,1,[52]
toen,1,[72]
toko,4,"[63, 33, 33, 85]"
tokoh,2,"[37, 1]"
tol,1,[9]
top,2,"[10, 10]"
topografi,1,[31]
total,1,[14]
tour,2,"[59, 3]"
touring,1,[13]
tourism,2,"[18, 18]"
tracking,2,"[31, 31]"
tradisi,2,"[39, 16]"
tradisional,8,"[27, 68, 52, 63, 16, 37, 73, 43]"
training,1,[27]
transaksinya,1,[68]
transportasi,1,[20]
tree,2,"[10, 10]"
trekking,1,[53]
trem,1,[62]
tropis,1,[27]
tua,2,"[59, 39]"
tubuh,2,"[85, 2]"
tugu,6,"[52, 61, 57, 57, 52, 62]"
tujuan,2,"[60, 61]"
tujuh,1,[50]
tulisan,1,[44]
tumbuh,1,[53]
tumenggung,1,[48]
tumpah,1,[23]
tuntang,2,"[27, 8]"
tur,1,[59]
turki,1,[45]
tusuk,1,[75]
tutup,1,[51]
udah,1,[4]
udang,4,"[86, 83, 83, 84]"
udara,3,"[7, 34, 32]"
udaranya,1,[33]
ujung,1,[5]
ulama,1,[41]
ulang,1,[38]
umat,2,"[12, 22]"
umbul,4,"[34, 34, 34, 34]"
umum,1,[58]
umumnya,2,"[81, 74]"
ungaran,18,"[31, 17, 1, 31, 27, 77, 66, 21, 29, 35, 33, 23, 20, 17, 77, 3, 35, 75]"
unik,3,"[27, 45, 48]"
unremiting,1,[57]
unsur,2,"[47, 47]"
untuk,49,"[27, 59, 31, 13, 43, 13, 35, 34, 36, 43, 65, 2, 15, 64, 29, 3, 64, 16, 38, 4, 17, 17, 14, 35, 47, 61, 34, 67, 27, 47, 60, 39, 20, 33, 54, 39, 21, 56, 55, 59, 25, 54, 6, 21, 58, 1, 24, 33, 23]"
upacara,1,[39]
urab,1,[43]
utama,6,"[59, 27, 20, 27, 17, 49]"
utan,1,[54]
utara,4,"[27, 55, 45, 55]"
valley,2,"[36, 36]"
van,2,"[55, 52]"
varian,3,"[71, 69, 80]"
vendor,1,[82]
view,1,[27]
vila,2,"[33, 33]"
villa,1,[9]
virtual,1,[38]
waduk,4,"[67, 67, 67, 67]"
wafat,3,"[41, 22, 1]"
wah,1,[78]
wahana,11,"[24, 9, 34, 23, 17, 9, 5, 23, 10, 28, 14]"
waktu,2,"[25, 47]"
walking,1,[59]
warisan,1,[20]
warna,2,"[45, 47]"
warnai,1,[6]
waroeng,1,[85]
warung,2,"[72, 82]"
water,1,[54]
waterpark,6,"[28, 24, 24, 28, 24, 28]"
watu,2,"[3, 6]"
wayang,2,"[65, 65]"
website,6,"[27, 18, 16, 47, 49, 33]"
websitenya,1,[24]
wedang,1,[85]
westmaas,1,[44]
wib,3,"[51, 51, 17]"
wijen,1,[81]
wilayah,1,[55]
wilde,1,[44]
wilhelmina,2,"[57, 55]"
wilhelmus,1,[44]
willem,1,[20]
wingko,3,"[80, 80, 80]"
wisata,49,"[43, 16, 6, 30, 16, 54, 34, 16, 30, 2, 13, 31, 13, 36, 31, 54, 3, 13, 15, 7, 43, 24, 1, 32, 69, 3, 40, 46, 58, 29, 76, 18, 18, 16, 26, 64, 56, 60, 21, 17, 4, 9, 42, 26, 34, 5, 42, 62, 1]"
wisatawan,5,"[77, 53, 30, 53, 26]"
wonolopo,1,[43]
woro,2,"[5, 5]"
wuih,1,[6]
ya,9,"[11, 71, 13, 68, 69, 7, 68, 10, 40]"
yaaa,1,[2]
yag,1,[86]
yaitu,8,"[17, 14, 37, 46, 77, 62, 28, 16]"
yakni,1,[29]
yang,191,"[86, 35, 35, 36, 33, 43, 84, 86, 84, 85, 34, 33, 38, 2, 40, 32, 43, 35, 36, 42, 39, 34, 34, 1, 33, 39, 35, 32, 35, 38, 35, 37, 85, 42, 40, 53, 32, 59, 20, 74, 59, 74, 19, 59, 74, 19, 59, 74, 18, 59, 60, 18, 73, 19, 36, 20, 59, 23, 56, 82, 76, 56, 22, 57, 9, 22, 57, 9, 58, 21, 21, 21, 58, 21, 73, 23, 61, 17, 66, 15, 66, 12, 66, 70, 66, 65, 12, 14, 67, 14, 67, 14, 67, 67, 13, 65, 64, 16, 62, 72, 17, 62, 62, 62, 16, 11, 72, 63, 16, 71, 16, 63, 71, 16, 64, 62, 56, 23, 55, 29, 29, 29, 29, 29, 47, 81, 81, 28, 28, 47, 28, 47, 47, 27, 77, 28, 48, 30, 81, 31, 31, 44, 3, 44, 44, 44, 45, 31, 44, 44, 44, 30, 82, 45, 30, 30, 48, 5, 52, 26, 49, 25, 6, 53, 25, 25, 54, 54, 54, 54, 24, 54, 77, 55, 52, 26, 59, 51, 51, 26, 27, 26, 27, 27, 27, 79, 27, 27, 27, 49, 26]"
yesus,1,[22]
yos,1,[61]
youghurt,1,[36]
yuk,5,"[0, 6, 3, 46, 69]"
yunani,2,"[45, 49]"
ziarah,1,[22]
zipcoaster,1,[10]
zona,1,[17]
zoo,3,"[54, 54, 54]"
