Terms,docFreq,postList
candi,14,"[29, 2, 29, 2, 2, 11, 29, 15, 29, 2, 2, 2, 29, 29]"
cantiknya,1,[21]
cap,4,"[78, 78, 78, 78]"
caping,2,"[16, 42]"
car,1,[59]
cara,1,[79]
cari,5,"[9, 4, 4, 71, 13]"
catur,2,"[6, 6]"
caving,1,[10]
celosia,3,"[15, 15, 15]"
cenderung,4,"[74, 34, 74, 47]"
cendrawasih,2,"[38, 80]"
cengkih,1,[81]
center,1,[24]
ceplok,1,[83]
cheng,3,"[47, 47, 47]"
chocomory,1,[36]
cimory,2,"[36, 36]"
cina,4,"[47, 47, 47, 47]"
cinta,2,"[25, 25]"
ciri,1,[44]
cita,2,"[74, 77]"
clubhouse,1,[66]
cm,4,"[17, 17, 23, 23]"
cobain,3,"[7, 6, 5]"
cocok,9,"[54, 31, 28, 27, 27, 31, 24, 71, 61]"
cocolan,1,[69]
coffee,1,[18]
cokelat,6,"[36, 36, 36, 36, 81, 36]"
coklat,1,[80]
cokrodipuro,1,[48]
com,1,[54]
convention,2,"[28, 18]"
corner,1,[36]
cothot,2,"[70, 70]"
court,1,[18]
cukup,10,"[29, 29, 21, 8, 25, 28, 17, 53, 17, 55]"
cuma,3,"[7, 71, 11]"
curam,1,[19]
curug,12,"[21, 21, 37, 21, 19, 19, 13, 37, 16, 13, 37, 13]"
cuss,1,[0]
daerah,11,"[83, 76, 76, 83, 83, 37, 58, 47, 47, 1, 58]"
daging,1,[75]
dahulu,2,"[76, 28]"
dalam,11,"[19, 80, 49, 62, 49, 38, 62, 57, 26, 57, 41]"
dalamnya,1,[70]
dan,174,"[84, 71, 33, 17, 71, 59, 61, 42, 83, 18, 17, 73, 31, 2, 18, 18, 43, 59, 83, 43, 32, 43, 72, 32, 31, 60, 86, 59, 44, 10, 17, 72, 20, 59, 44, 28, 47, 81, 47, 47, 52, 81, 47, 28, 28, 54, 54, 24, 24, 77, 54, 54, 28, 25, 54, 47, 78, 49, 80, 5, 27, 80, 5, 27, 50, 26, 48, 80, 27, 27, 50, 27, 51, 4, 78, 27, 24, 47, 77, 57, 21, 75, 58, 21, 58, 46, 58, 22, 45, 45, 59, 30, 74, 20, 30, 10, 59, 74, 76, 57, 76, 55, 47, 24, 77, 24, 47, 29, 76, 23, 56, 76, 56, 23, 23, 29, 62, 46, 82, 57, 59, 17, 27, 41, 40, 35, 0, 13, 41, 36, 16, 34, 36, 38, 15, 62, 65, 37, 39, 35, 62, 63, 65, 65, 64, 16, 16, 63, 35, 85, 62, 16, 68, 65, 36, 85, 14, 34, 41, 69, 36, 84, 65, 35, 86, 34, 38, 16, 12, 68, 35, 33, 14, 67]"
danau,1,[67]
danuwo,1,[5]
dapat,46,"[20, 38, 32, 29, 43, 16, 36, 39, 53, 36, 59, 63, 59, 44, 84, 18, 63, 63, 52, 56, 35, 53, 4, 43, 26, 43, 59, 36, 76, 33, 80, 84, 45, 37, 75, 79, 61, 16, 33, 58, 82, 60, 22, 63, 67, 82]"
daratan,1,[47]
dari,69,"[28, 59, 11, 33, 52, 82, 73, 36, 70, 76, 44, 60, 59, 19, 8, 47, 68, 66, 58, 44, 26, 58, 27, 30, 29, 17, 80, 24, 7, 74, 15, 20, 41, 6, 46, 57, 29, 64, 53, 21, 47, 74, 32, 29, 27, 72, 25, 86, 38, 23, 45, 56, 34, 37, 66, 84, 46, 12, 50, 50, 17, 48, 61, 30, 74, 1, 37, 9, 83]"
datang,6,"[5, 77, 15, 4, 68, 16]"
dataran,1,[34]
daya,3,"[64, 62, 5]"
de,2,"[59, 44]"
deco,1,[62]
deh,2,"[7, 6]"
dekat,2,"[20, 47]"
dekoratif,1,[59]
demak,2,"[64, 1]"
demikian,2,"[21, 29]"
dengan,88,"[43, 47, 84, 58, 66, 13, 35, 13, 48, 27, 23, 46, 77, 32, 60, 20, 45, 30, 84, 60, 23, 50, 53, 54, 44, 15, 76, 37, 69, 33, 17, 62, 67, 67, 55, 82, 34, 24, 64, 33, 13, 17, 49, 21, 47, 84, 77, 58, 21, 49, 59, 0, 79, 50, 28, 44, 44, 44, 81, 76, 31, 31, 78, 13, 66, 47, 68, 86, 44, 51, 23, 2, 86, 26, 28, 84, 73, 10, 66, 78, 22, 82, 26, 32, 36, 67, 59, 14]"
dengar,1,[70]
denok,1,[16]
depan,4,"[49, 82, 73, 54]"
desa,27,"[30, 1, 33, 31, 16, 19, 42, 16, 2, 13, 3, 43, 37, 25, 1, 15, 43, 16, 14, 43, 16, 43, 42, 20, 17, 21, 34]"
desain,1,[44]
destinasi,3,"[17, 33, 60]"
dewa,1,[39]
dewasa,3,"[17, 23, 5]"
dewi,2,"[39, 50]"
dhuwur,1,[82]
di,175,"[76, 1, 56, 56, 7, 8, 65, 55, 35, 22, 8, 76, 56, 47, 82, 56, 76, 3, 1, 55, 26, 52, 66, 0, 28, 66, 6, 68, 27, 67, 51, 27, 67, 6, 50, 80, 14, 5, 27, 49, 49, 27, 14, 14, 79, 79, 49, 67, 49, 80, 50, 49, 66, 26, 47, 24, 29, 55, 15, 55, 37, 66, 54, 85, 3, 0, 54, 54, 15, 25, 66, 54, 68, 14, 25, 3, 25, 53, 36, 47, 25, 78, 66, 53, 6, 15, 81, 3, 22, 2, 39, 17, 11, 63, 20, 17, 83, 75, 74, 71, 16, 63, 61, 1, 34, 3, 31, 64, 2, 43, 38, 45, 46, 59, 59, 3, 82, 70, 34, 82, 82, 30, 12, 13, 58, 34, 10, 32, 21, 40, 61, 64, 30, 57, 33, 22, 64, 20, 10, 41, 63, 70, 31, 11, 10, 60, 19, 57, 40, 59, 57, 59, 73, 84, 73, 62, 18, 36, 58, 42, 30, 13, 46, 10, 22, 57, 82, 44, 59, 9, 57, 21, 82, 44, 29]"
diabadikan,1,[44]
diadakan,2,"[30, 56]"
diajak,1,[31]
diakses,1,[58]
diambil,1,[46]
diantara,2,"[27, 24]"
dibanderol,1,[28]
dibandrol,1,[76]
dibangun,11,"[47, 52, 50, 62, 44, 2, 57, 39, 22, 20, 48]"
dibawa,1,[50]
dibeli,2,"[35, 84]"
dibuat,1,[82]
dibungkus,1,[84]
dicairkan,1,[74]
dicampur,1,[37]
dicat,1,[47]
dicoba,1,[28]
didalamnya,1,[35]
didasari,1,[67]
didatangi,1,[64]
didatangkan,1,[15]
didesain,2,"[15, 67]"
didirikan,3,"[44, 48, 51]"
digoreng,4,"[84, 86, 76, 84]"
digowes,1,[63]
digunakan,6,"[65, 29, 62, 62, 58, 62]"
diguyur,1,[83]
dihuni,1,[47]
diinginkan,1,[25]
diisi,3,"[77, 84, 86]"
dijadikan,1,[56]
dijangkau,1,[9]
dijual,1,[82]
dijuluki,1,[66]
dijumpai,1,[16]
dikarenakan,1,[17]
dikatakan,1,[37]
dikenakan,1,[36]
dikenal,9,"[76, 1, 47, 28, 43, 57, 46, 75, 48]"
dikunjungi,2,"[59, 34]"
dikutip,1,[59]
dilaksanakan,2,"[55, 30]"
dilakukan,3,"[55, 55, 17]"
dilalui,1,[13]
dilengkapi,8,"[27, 33, 34, 60, 23, 58, 26, 17]"
