Freq,Posting_ptr,Terms_ptr
4,"[72, 27, 78, 18]",4081
10,"[83, 34, 55, 51, 32, 47, 53, 47, 59, 10]",4089
2,"[6, 10]",4092
1,[62],4095
1,[13],4100
1,[64],4104
1,[46],4111
2,"[51, 51]",4117
1,[85],4121
2,"[16, 63]",4125
17,"[27, 80, 22, 3, 61, 21, 20, 27, 49, 3, 10, 27, 26, 79, 80, 30, 27]",4132
2,"[27, 59]",4137
3,"[46, 25, 36]",4142
5,"[51, 51, 51, 43, 43]",4145
4,"[69, 2, 59, 71]",4149
1,[28],4155
1,[16],4162
2,"[26, 29]",4167
1,[47],4171
1,[53],4178
1,[64],4184
2,"[67, 67]",4188
2,"[10, 19]",4198
6,"[15, 8, 48, 56, 15, 47]",4203
28,"[49, 74, 49, 46, 35, 49, 66, 45, 49, 49, 66, 58, 10, 26, 47, 73, 44, 47, 44, 35, 47, 78, 62, 29, 66, 20, 66, 19]",4207
1,[4],4211
1,[9],4221
1,[68],4229
2,"[51, 51]",4233
1,[59],4237
1,[3],4242
1,[39],4249
5,"[14, 56, 14, 14, 21]",4255
1,[59],4263
2,"[15, 82]",4270
2,"[45, 11]",4275
3,"[16, 67, 17]",4281
3,"[27, 74, 59]",4287
2,"[59, 59]",4291
22,"[59, 77, 84, 84, 57, 84, 65, 85, 57, 82, 41, 18, 77, 35, 38, 57, 84, 75, 57, 46, 77, 32]",4300
1,[66],4302
1,[20],4305
4,"[33, 26, 33, 33]",4310
1,[44],4315
1,[48],4323
39,"[57, 47, 13, 18, 59, 22, 23, 65, 59, 46, 10, 15, 9, 30, 58, 58, 46, 58, 0, 65, 29, 21, 36, 11, 16, 79, 27, 16, 41, 27, 60, 53, 32, 24, 63, 43, 14, 84, 51]",4328
1,[62],4332
1,[41],4336
1,[51],4343
1,[17],4346
2,"[62, 29]",4351
1,[10],4357
1,[10],4361
1,[55],4367
2,"[74, 74]",4371
1,[52],4376
1,[20],4384
5,"[17, 1, 3, 2, 11]",4386
14,"[12, 34, 2, 0, 58, 15, 6, 5, 14, 72, 70, 3, 34, 8]",4389
3,"[14, 14, 14]",4398
4,"[36, 73, 83, 72]",4402
1,[16],4408
2,"[34, 35]",4414
2,"[39, 39]",4418
1,[18],4421
4,"[14, 24, 2, 59]",4426
1,[14],4430
1,[25],4435
4,"[6, 4, 6, 5]",4443
